full_d	base_e	base_d	artikel_d	Sample sentence	Sample sentence Typing Corrects	pos	audio	s1	s2
	in connection with (in V~)	in Verbindung mit		Hautveränderungen können in Verbindng mit Rheuma auftreten.			[sound:e7e86658-5fbf-5191-bc56-dffe45315932.mp3]	Hautveränderungen können in Verbindng mit Rheuma auftreten.	
die Vorstellungen	idea, introduction (V~)	Vorstellung	die 	Ich habe eine andere Vorstellung davon, was wir machen sollen.		noun	[sound:7a9dc50b-5c45-59cc-9a87-ffb27624baad.mp3]	Ich habe eine andere Vorstellung davon, was wir machen sollen.	
die Kontakte	contact	Kontakt	der 	Wir müssen den Kontakt herstellen.		noun	[sound:4637be1e-0640-591f-8a08-866f6a8b65d3.mp3]	Wir müssen den Kontakt herstellen.	
sorgt; sorgte; hat gesorgt	to worry, take care (s~)	sorgen		Ich sorge für meine Schwester.		verb	[sound:04640cdc-53a6-5efe-b521-f9431353c2a2.mp3]	Ich sorge für meine Schwester.	
die Fächer, die Fache	compartment, subject	Fach	das 	Welche Fächer studierst du?		noun	[sound:57ac7732-896f-5512-86c1-6abfe3062a6d.mp3]	Welche Fächer studierst du?	
	central	zentral		Das zentrale Problem sind die Kosten.		adj	[sound:f3e1054b-088b-54e0-b529-928833010ba1.mp3]	Das zentrale Problem sind die Kosten.	
die Mengen	quantity, amount (M~)	Menge	die 	Es handelt sich um eine größere Menge.		noun	[sound:8a58759b-22e8-57f5-9a04-e485d0812340.mp3]	Es handelt sich um eine größere Menge.	
die Verbindungen	connection, link	Verbindung	die 	Es gibt keine Verbindung zwischen hier und dort.		noun	[sound:190a4b90-5955-55d1-a6c4-f5e526b15cf2.mp3]	Es gibt keine Verbindung zwischen hier und dort.	
die Sommer	summer	Sommer	der 	Im Sommer habe ich Geburtstag.		noun	[sound:4e28eba1-e6d4-52a6-8dbe-93784964bec4.mp3]	Im Sommer habe ich Geburtstag.	
steckt; steckte; hat gesteckt	to put, be located (s~)	stecken		Der Schlüssel steckt im Schlüsselloch.		verb	[sound:a3f030fd-07e5-55df-b02d-c9c24c46519c.mp3]	Der Schlüssel steckt im Schlüsselloch.	
besucht; besuchte; hat besucht	to visit (be~)	besuchen		Morgen besuche ich meine Schwiegereltern.		verb	[sound:ee79d0b9-02be-5ae5-897a-b923d4e92db0.mp3]	Morgen besuche ich meine Schwiegereltern.	
dauert; dauerte; hat gedauert	to last, take (time)	dauern		Die Vorstellung dauert zwei Stunden.		verb	[sound:b7714f71-18b3-5206-b162-d4744f295352.mp3]	Die Vorstellung dauert zwei Stunden.	
bezieht; bezog; hat bezogen	to refer, put, get	beziehen		Ich beziehe mich darauf, was sie gesagt hat.		verb	[sound:2e0650ae-f92d-58c3-ad7d-e0cceda09fc0.mp3]	Ich beziehe mich darauf, was sie gesagt hat.	
	finished, ready (f~)	fertig		Das Essen ist fertig!		adj	[sound:b2bb3396-6dd2-5e25-bbfb-657f2a65ffa2.mp3]	Das Essen ist fertig!	
die Ansprüche	claim (A~)	Anspruch	der 	Er hat keinen Anspruch auf das Haus.		noun	[sound:50995abb-2078-5a14-a828-968fa9a0d791.mp3]	Er hat keinen Anspruch auf das Haus.	
	neither...nor	weder...noch		1) Sie isst weder Fisch noch Fleisch. 2) Er hat weder Abitur noch einen Hochschulabschluss.		conj	[sound:d637a38a-8f84-5643-a375-ce2476871661.mp3]	Sie isst weder Fisch noch Fleisch.	Er hat weder Abitur noch einen Hochschulabschluss.
die Herzen	heart	Herz	das 	Die Ärztin unternahm eine komplizierte Operation am Herzen.		noun	[sound:d1091408-f667-5b45-be9a-1761e4840cfc.mp3]	Die Ärztin unternahm eine komplizierte Operation am Herzen.	
spürt; spürte; hat gespürt	to sense, notice	spüren		Pferde spüren ein nahendes Erdbeben.		verb	[sound:c832fd01-7943-5b37-bcce-a1f157bfdf59.mp3]	Pferde spüren ein nahendes Erdbeben.	
	instead of (s~)	statt		Das Buch kostet hier 9 statt 12 Euro.		prep	[sound:5eac1c0b-058b-5898-b3db-04d21d152347.mp3]	Das Buch kostet hier 9 statt 12 Euro.	
die Antworten	answer, reply	Antwort	die 	Ich habe ihm noch keine Antwort gegeben.		noun	[sound:75bd6c4c-e5da-5a0e-b26b-ff42e255b4e9.mp3]	Ich habe ihm noch keine Antwort gegeben.	
bittet; bat; hat gebeten	to request, ask	bitten		Ich bitte dich um einen kleinen Gefallen.		verb	[sound:c64e744d-9876-5bba-a540-bb3b9b841b9d.mp3]	Ich bitte dich um einen kleinen Gefallen.	
die Ausbildungen	training, development	Ausbildung	die 	Laura ist noch in der Ausbildung.		noun	[sound:97cd5f3d-4da8-5d93-b7af-9f01936cf5ef.mp3]	Laura ist noch in der Ausbildung.	
	wide, broad	breit		Ein breiter Fluss trennt uns von unserem Ziel.		adj	[sound:4746e8d1-4f77-5cc8-8f2e-7c5087295f6f.mp3]	Ein breiter Fluss trennt uns von unserem Ziel.	
	hard	hart		Das Leben ist hart.		adj	[sound:9edfbf60-2f10-55f6-a32e-78a015fa01e4.mp3]	Das Leben ist hart.	
	absolute (un~)	unbedingt		Ich muss den Zug unbedingt kriegen.		adj	[sound:9f2a3ad3-e989-5e3a-a663-9e5375242057.mp3]	Ich muss den Zug unbedingt kriegen.	
die Alter	age	Alter	das 	Sie starb im Alter von 75 Jahren.		noun	[sound:d3886831-9eb6-5a5b-9a9b-6e39a556cfc9.mp3]	Sie starb im Alter von 75 Jahren.	
die Kilometer	kilometre	Kilometer	der 	Von Leipzig nach München sind es etwa 430 Kilometer.		noun	[sound:e3c10248-eda1-5e60-a074-6be103bbdd02.mp3]	Von Leipzig nach München sind es etwa 430 Kilometer.	
	fundamental	grundsätzlich		Ich bin grundsätzlich anderer Meinung.		adj	[sound:60e5ec3c-200f-5e43-a6d6-e4f40fa0d152.mp3]	Ich bin grundsätzlich anderer Meinung.	
erhöht; erhöhte; hat erhöht	to increase, raise (er~)	erhöhen		Wir müssen unser Angebot erhöhen.		verb	[sound:e3bd748a-2e74-5e1b-8a6a-d08d8baf644f.mp3]	Wir müssen unser Angebot erhöhen.	
die Verträge	contract	Vertrag	der 	Der Vertrag gilt ab 1. Januar 2006.		noun	[sound:bb7da0a5-595d-5de3-ba07-7d46476855bf.mp3]	Der Vertrag gilt ab 1. Januar 2006.	
die Hilfen	help	Hilfe	die 	Wir hoffen auf eure Hilfe.		noun	[sound:d784e80d-8002-508c-b1fc-e1924116d3bb.mp3]	Wir hoffen auf eure Hilfe.	
die Dollars	dollar	Dollar	der 	Der Dollar steht gut im Kurs.		noun	[sound:740db24d-706d-5929-bd61-4369ce83384d.mp3]	Der Dollar steht gut im Kurs.	
die Verfahren	method, process, technique (V~)	Verfahren	das 	Dieses Verfahren ist am effektivsten.		noun	[sound:598afbd9-cd17-5fa3-9adc-7929fc2bdfda.mp3]	Dieses Verfahren ist am effektivsten.	
	first, at first (not erstens)	zuerst		Zuerst studiere ich, dann mache ich ein Praktikum.		adv	[sound:dd8947a3-185b-5a12-8836-b4a38b7cb7c0.mp3]	Zuerst studiere ich, dann mache ich ein Praktikum.	
die Theater	theater	Theater	das 	Das Theater ist eines der schönsten Gebäude der Stadt.		noun	[sound:1d5ae835-5204-5ef5-888f-3fd78b8e9e30.mp3]	Das Theater ist eines der schönsten Gebäude der Stadt.	
die Gefahren	danger	Gefahr	die 	Er war in großer Gefahr.		noun	[sound:e45bdd19-b3de-5937-91d9-4f4f3ead1a20.mp3]	Er war in großer Gefahr.	
die Patienten	patient	Patient	der 	Der Arzt untersucht einen Patienten.		noun	[sound:bb8f786e-db76-5328-ae35-c2dd3ada2ab6.mp3]	Der Arzt untersucht einen Patienten.	
no singular	costs, expenses	Kosten	die 	Die Kosten für die Reise übernimmt die Firma.	In den Ferien fahren wir mit den Eltern an die Ostsee.	noun	[sound:d9afb99a-84db-5ac3-a888-a85f2501c3a9.mp3]	Die Kosten für die Reise übernimmt die Firma.	
meldet; meldete; hat gemeldet	to report, register (m~)	melden		Der Wetterbericht meldet Schnee für das Wochenende.		verb	[sound:c50d4851-eeef-54a3-8a14-05b2bc9b5b80.mp3]	Der Wetterbericht meldet Schnee für das Wochenende.	
die Polizeien	police	Polizei	die 	Die Polizei erreicht den Unfallort zuerst.		noun	[sound:6da66262-18a1-595d-9f5c-a822f40fc550.mp3]	Die Polizei erreicht den Unfallort zuerst.	
die Computer	computer	Computer	der 	Ich arbeite jeden Tag am Computer.		noun	[sound:ebd7a661-0dc2-59ae-9e2a-b61f86c46e8b.mp3]	Ich arbeite jeden Tag am Computer.	
	internal	inner		Das ist eine innere Angelegenheit.		adj	[sound:d36b1c89-0193-58b2-97af-216ae71dc043.mp3]	Das ist eine innere Angelegenheit.	
	future	künftig		Auch künftige Generationen müssen auf dieser Welt noch leben können.	In Zukunft werde ich weniger rauchen.	adj	[sound:825387a0-30b9-5763-9af5-ac1b6afe5365.mp3]	Auch künftige Generationen müssen auf dieser Welt noch leben können.	
	out, beyond (h~)	hinaus		Darüber hinaus gibt es nichts zu berichten.		adv	[sound:9752d4f1-26eb-5518-baef-b3ebb97d5126.mp3]	Darüber hinaus gibt es nichts zu berichten.	
die Geräte	tool, piece of equipment, appliance (G~)	Gerät	das 	Ein Thermometer ist ein Gerät zur Temparaturmessung.		noun	[sound:443b5cc6-c839-5054-8461-f530c8bd4889.mp3]	Ein Thermometer ist ein Gerät zur Temparaturmessung.	
	available, existing (vor~)	vorhanden		Es ist kein Papier mehr vorhanden.		adj	[sound:406ae60d-61a8-56a3-a237-306963097c9c.mp3]	Es ist kein Papier mehr vorhanden.	
die Oktober	October	Oktober	der 	Im Oktober ist Erntedankfest.		noun	[sound:dfbc2d96-6cb9-5e1f-bea9-a606b25897ad.mp3]	Im Oktober ist Erntedankfest.	
die Reihen	row, line	Reihe	die 	Stellt euch bitte in einer Reihe auf!		noun	[sound:88083a41-e74d-5fa8-b418-551c75146ffd.mp3]	Stellt euch bitte in einer Reihe auf!	
	historical	historisch		In jeder Generation kommt es zu historischen Ereignissen.		adj	[sound:5e72305a-7fd1-5d32-a67c-bbeb0f9fbb65.mp3]	In jeder Generation kommt es zu historischen Ereignissen.	
die Stoffe	material, substance (S~)	Stoff	der 	Samt ist ein sehr weicher Stoff.		noun	[sound:48b423aa-2411-5387-afdf-699ed3ac0f5c.mp3]	Samt ist ein sehr weicher Stoff.	
die Mitten	middle	Mitte	die 	Kassel liegt in der Mitte Deutschlands.		noun	[sound:87f8c753-d107-5141-a63d-fce5735e87a0.mp3]	Kassel liegt in der Mitte Deutschlands.	
	rather	lieber		Ich esse lieber Birnen als Äpfel.		adv	[sound:3da3a1bd-cd9c-5616-afc6-6fbd8ee9108a.mp3]	Ich esse lieber Birnen als Äpfel.	
kommt vor; kam vor; ist vorgekommen	to happen, occur, seem (vor~)	vorkommen		Fälle von Korruption kommen auch im Bundestag vor.		verb	[sound:3b6de854-611d-57b2-9bf4-11bac1a2b46e.mp3]	Fälle von Korruption kommen auch im Bundestag vor.	
betont; betonte; hat betont	to stress	betonen		Der Professor betont noch einmal, dass das Seminar Pflicht ist.		verb	[sound:25ce034d-d42a-5b9f-b4b7-da2954e2600c.mp3]	Der Professor betont noch einmal, dass das Seminar Pflicht ist.	
no plural	luck, fortune	Glück	das 	Alles Gute und viel Glück zum Geburtstag!	Im Norden der Stadt liegt der Zoo., Was kommt heute im Fernsehen?, Struppi hat bei Mollers ein neues Zuhause gefunden., Er mochte ein Jahr lang im Ausland studieren., Das Publikum applaudierte sehr lange., Mathematik ist eine Hilfswissenschaft für alle Naturwissenschaften., Eine hohe Anzahl von Jugendlichen sieht pessimistisch in die Zukunft., Matrosen fahren zur See., Mathematik ist eine Hilfswissenschaft fur alle Naturwissenschaften., Alle Welt spricht Englisch., Ihr Verhalten ist lobenswert., In Zukunft werde ich weniger rauchen., Wer Geschichte lernt, erfährt viel über die Gegenwart., Wer Geschichte lernt, Struppi hat bei Möllers ein neues Zuhause gefunden., Im Internet findest du bestimmt viele Informationen dazu., Er möchte ein Jahr lang im Ausland studieren., Junge Eltern brauchen Ruhe und Erholung., Das Wasser ist zu kalt zum Baden., erfährt viel über die Gegenwart., Wer Geschichte lernt, erfahrt viel uber die Gegenwart., Mein Dank ist dir gewiss.	noun	[sound:e957cc47-62d3-5ba9-b340-f8e42b4e1e25.mp3]	Alles Gute und viel Glück zum Geburtstag!	
	nevertheless (d~)	dennoch		Gregor hat sich große Mühe gegeben, dennoch hat er die Prüfung nicht bestanden.		adv	[sound:0672901c-9b9f-5f44-94c4-2d33b33683a3.mp3]	Gregor hat sich große Mühe gegeben, dennoch hat er die Prüfung nicht bestanden.	
	both, at the same time	zugleich		Es ist kalt, zugleich weht ein starker Wind aus Nord.		adv	[sound:d9e44d38-1061-5d3e-8aa7-fad38d7936f3.mp3]	Es ist kalt, zugleich weht ein starker Wind aus Nord.	
	in the middle (in ~)	in der Mitte		In der Mitte des Zimmers steht ein großer Tisch.			[sound:24f01e5f-60df-5baa-9174-dab44e4c3f04.mp3]	In der Mitte des Zimmers steht ein großer Tisch.	
	so that	sodass		Ich arbeite heute den ganzen Tag über, sodass ich am Abend Zeit für dich habe.		conj	[sound:44461314-9547-55e7-9427-e5ab825c02a1.mp3]	Ich arbeite heute den ganzen Tag über, sodass ich am Abend Zeit für dich habe.	
die Maßnahmen	measure (long form)	Maßnahme	die 	Jetzt müssen geeignete Maßnahmen zum Hochwasserschutz getroffen werden.		noun	[sound:345c5a3e-cfd5-54cd-84ae-1c4221229077.mp3]	Jetzt müssen geeignete Maßnahmen zum Hochwasserschutz getroffen werden.	
no plural	west	Westen	der 	Im Westen ist die Arbeitslosigkeit niedriger als im Osten.	Im Norden der Stadt liegt der Zoo., Was kommt heute im Fernsehen?, Struppi hat bei Mollers ein neues Zuhause gefunden., Er mochte ein Jahr lang im Ausland studieren., Alles Gute und viel Gluck zum Geburtstag!, Das Publikum applaudierte sehr lange., Mathematik ist eine Hilfswissenschaft für alle Naturwissenschaften., Eine hohe Anzahl von Jugendlichen sieht pessimistisch in die Zukunft., Matrosen fahren zur See., Mathematik ist eine Hilfswissenschaft fur alle Naturwissenschaften., Alle Welt spricht Englisch., Ihr Verhalten ist lobenswert., In Zukunft werde ich weniger rauchen., Alles Gute und viel Glück zum Geburtstag!, Wer Geschichte lernt, erfährt viel über die Gegenwart., Wer Geschichte lernt, Struppi hat bei Möllers ein neues Zuhause gefunden., Im Internet findest du bestimmt viele Informationen dazu., Er möchte ein Jahr lang im Ausland studieren., Junge Eltern brauchen Ruhe und Erholung., Das Wasser ist zu kalt zum Baden., erfährt viel über die Gegenwart., Wer Geschichte lernt, erfahrt viel uber die Gegenwart., Mein Dank ist dir gewiss.	noun	[sound:cd43d643-4626-590a-847a-5b129167ed32.mp3]	Im Westen ist die Arbeitslosigkeit niedriger als im Osten.	
erfüllt; erfüllte; hat erfüllt	to grant, fulfil	erfüllen		Alle Bedingungen müssen erfüllt werden.		verb	[sound:8dd4b50e-06ca-50cf-99db-e6ed780df038.mp3]	Alle Bedingungen müssen erfüllt werden.	
	last, in the end (z~)	zuletzt		Zuletzt hat Bruno als Kellner gearbeitet.		adv	[sound:5d4c7c3c-04de-52dc-8f8f-f74486deb8e1.mp3]	Zuletzt hat Bruno als Kellner gearbeitet.	
	scarce, slim (k~)	knapp		Die Partei hat mit knapper Mehrheit gewonnen.		adj	[sound:2b97b68d-46da-5510-a2ea-91dc0e20e46d.mp3]	Die Partei hat mit knapper Mehrheit gewonnen.	
die Ordnungen	order, tidiness (O~)	Ordnung	die 	Ordnung ist das halbe Leben.		noun	[sound:c606f1c1-7265-5d47-ac1e-72e6df813fd0.mp3]	Ordnung ist das halbe Leben.	
besitzt; besaß; hat besessen	to own, have	besitzen		Diese Methode besitzt großes Potenzial.		verb	[sound:d8406262-aec2-54ca-9729-2c02a1be7e85.mp3]	Diese Methode besitzt großes Potenzial.	
	a series of	eine Reihe von		Für die Gründung eines Vereins gibt es eine Reihe von Vorschriften.			[sound:6c73a88e-8df7-55c1-a1bf-74e2ac3e7e00.mp3]	Für die Gründung eines Vereins gibt es eine Reihe von Vorschriften.	
die Beginne	beginning (B~)	Beginn	der 	Der Beginn der Sommerzeit ist Ende März.		noun	[sound:781bc6d0-bbc6-5d44-ae6a-1e4343f87145.mp3]	Der Beginn der Sommerzeit ist Ende März.	
die Wochenenden	weekend	Wochenende	das 	Am Wochenende fahren wir aufs Land.		noun	[sound:af0a9edb-4cfe-5472-a591-057da471f94d.mp3]	Am Wochenende fahren wir aufs Land.	
die Professoren	professor	Professor	der 	Der Professor betreut viele Studierende.		noun	[sound:ccfbcf56-94f5-5746-b5ec-9881fbb08206.mp3]	Der Professor betreut viele Studierende.	
beteiligt; beteiligte; hat beteiligt	to participate (b~)	beteiligen		Viele Studenten beteiligten sich an der Demonstration.		verb	[sound:f30ac77f-551d-5963-9ccd-356cc5d4143e.mp3]	Viele Studenten beteiligten sich an der Demonstration.	
no plural	east	Osten	der 	Im Osten geht die Sonne auf.	Im Norden der Stadt liegt der Zoo., Was kommt heute im Fernsehen?, Alle Welt spricht Englisch., Er mochte ein Jahr lang im Ausland studieren., Alles Gute und viel Gluck zum Geburtstag!, Das Publikum applaudierte sehr lange., Mathematik ist eine Hilfswissenschaft für alle Naturwissenschaften., Eine hohe Anzahl von Jugendlichen sieht pessimistisch in die Zukunft., Struppi hat bei Mollers ein neues Zuhause gefunden., Matrosen fahren zur See., Mathematik ist eine Hilfswissenschaft fur alle Naturwissenschaften., Ihr Verhalten ist lobenswert., In Zukunft werde ich weniger rauchen., Alles Gute und viel Glück zum Geburtstag!, Wer Geschichte lernt, erfährt viel über die Gegenwart., Wer Geschichte lernt, Im Westen ist die Arbeitslosigkeit niedriger als im Osten., Struppi hat bei Möllers ein neues Zuhause gefunden., Im Internet findest du bestimmt viele Informationen dazu., Er möchte ein Jahr lang im Ausland studieren., Junge Eltern brauchen Ruhe und Erholung., Das Wasser ist zu kalt zum Baden., erfährt viel über die Gegenwart., Wer Geschichte lernt, erfahrt viel uber die Gegenwart., Mein Dank ist dir gewiss.	noun	[sound:70192374-84fe-5a8e-ac51-15ef62db77c4.mp3]	Im Osten geht die Sonne auf.	
	current (a~)	aktuell		Die aktuellsten Daten findet man im Internet.		adj	[sound:15f84b52-41b0-51f7-b869-28d53466e958.mp3]	Die aktuellsten Daten findet man im Internet.	
eignet sich; eignete sich; hat sich geeignet	to be suitable	sich eignen		Dieses Messer eignet sich sehr gut zum Brotschneiden.		verb	[sound:729c71e9-a63c-5f6d-ac92-97ba7b51f55b.mp3]	Dieses Messer eignet sich sehr gut zum Brotschneiden.	
	currently, at the moment (d~)	derzeit		Derzeit wiederholt das Fernsehen eine Serie aus den 80er Jahren.		adv	[sound:be4ae8d4-7b9c-59ee-8a26-5664ec39a630.mp3]	Derzeit wiederholt das Fernsehen eine Serie aus den 80er Jahren.	
	thanks	danke		Danke für deine Hilfe!		adv	[sound:c314f55a-dd2c-5fe1-b474-182c6cdf1ef4.mp3]	Danke für deine Hilfe!	
die Reisen	journey, trip	Reise	die 	Anschließend unternahm er eine Reise nach Italien.		noun	[sound:380ed53e-4277-58d8-92f6-c8caac1ecc2d.mp3]	Anschließend unternahm er eine Reise nach Italien.	
	remaining, left (ü~)	übrig		Es ist nichts mehr von der Suppe übrig.		adj	[sound:9cafa36a-af30-5e11-8116-124318dbea1b.mp3]	Es ist nichts mehr von der Suppe übrig.	
umfasst; umfasste; hat umfasst	to include, consist of (u~)	umfassen		Das Menü umfasst fünf Gänge.		verb	[sound:96b6c878-c512-5e0f-9ed1-3728baf8f6a2.mp3]	Das Menü umfasst fünf Gänge.	
	while, by	indem		Tim hält sich gesund, indem er viel Sport treibt.		conj	[sound:55c4d5ca-08a4-58ff-8c26-165e9f3e3c30.mp3]	Tim hält sich gesund, indem er viel Sport treibt.	
unterstützt; unterstützte; hat unterstützt	to support (u~)	unterstützen		Die Eltern unterstützen ihre Tochter während ihres Studiums finanziell.		verb	[sound:4c6243e6-1e27-5a47-9681-c08ee40dc87b.mp3]	Die Eltern unterstützen ihre Tochter während ihres Studiums finanziell.	
die Einheiten	unity, unit	Einheit	die 	Die Deutsche Einheit kam für viele überraschend.		noun	[sound:056c7d04-fd09-58ed-862e-5d8c1322a844.mp3]	Die Deutsche Einheit kam für viele überraschend.	
schläft; schlief; hat geschlafen	to sleep	schlafen		Ich schlafe acht Stunden pro Tag.		verb	[sound:d653fa35-7a57-5410-99ee-a2157f2e58be.mp3]	Ich schlafe acht Stunden pro Tag.	
die Institute	institute	Institut	das 	Am Institut für Linguistik lehrt ein Gastprofessor aus den USA.		noun	[sound:fc0e705e-8f5d-56e8-9e4d-b2d5392e27ea.mp3]	Am Institut für Linguistik lehrt ein Gastprofessor aus den USA.	
merkt; merkte; hat gemerkt	to notice, remember (m~)	merken		Ich kann mir seinen Namen nicht merken.		verb	[sound:9d4226fe-4710-5e3b-ac9c-742f3cc573d5.mp3]	Ich kann mir seinen Namen nicht merken.	
	again (n~)	nochmals		Ich habe den Film nochmal gesehen.		adv	[sound:4c1b8cea-a0bc-5870-af40-59aada6fa1b1.mp3]	Ich habe den Film nochmal gesehen.	
passt; passte; hat gepasst	to fit	passen		Der Deckel passt nicht auf den Topf.		verb	[sound:b4f0d6af-8a54-53de-bbe0-722e3a05c665.mp3]	Der Deckel passt nicht auf den Topf.	
die Bevölkerungen	population	Bevölkerung	die 	Die Bevölkerung verlangt Reformen.		noun	[sound:9aa4996c-a3c0-5570-a816-41b879a0efe9.mp3]	Die Bevölkerung verlangt Reformen.	
	by the way, incidentally (im ~)	im Übrigen		Im Übrigen kann die Uni leicht mit dem Bus erreicht werden.			[sound:f7035386-a9d7-51c8-b06e-35586d864483.mp3]	Im Übrigen kann die Uni leicht mit dem Bus erreicht werden.	
die Erden	earth, ground, soil	Erde	die 	Die Erde bewegt sich um die Sonne.		noun	[sound:673c2320-138f-5a08-8912-2e4575f86208.mp3]	Die Erde bewegt sich um die Sonne.	
